Executing Case 1: Running Model Training with all context and all criteria
PNN - RMSE: 0.9869, MAE: 0.7412, Time: 8.51s, CPU: 0.00%, Memory: 0.00MB
WDL - RMSE: 0.9313, MAE: 0.7227, Time: 10.21s, CPU: -0.10%, Memory: 0.00MB
xDeepFM - RMSE: 0.9293, MAE: 0.7174, Time: 13.46s, CPU: 0.00%, Memory: 32.75MB
IFM - RMSE: 1.2134, MAE: 0.9769, Time: 10.82s, CPU: 0.00%, Memory: 0.00MB
MLR - RMSE: 0.9897, MAE: 0.8216, Time: 19.79s, CPU: 0.20%, Memory: 0.31MB
MultiHeadAttentionModel - RMSE: 0.9476, MAE: 0.6902, Time: 13.72s, CPU: 0.00%, Memory: 0.00MB
==============================================================================================

Executing Case 5: Running Prediction with all criteria, with single context: class
AFM - RMSE: 0.9783, MAE: 0.8134, Time: 24.40s, CPU: 0.30%, Memory: 2182.80MB
AutoInt - RMSE: 0.8029, MAE: 0.6195, Time: 13.63s, CPU: 0.00%, Memory: 0.75MB
CCPM - RMSE: 1.0707, MAE: 0.8515, Time: 15.41s, CPU: -0.10%, Memory: 609.02MB
DCN - RMSE: 0.7935, MAE: 0.6108, Time: 12.09s, CPU: 0.00%, Memory: 0.64MB
DeepFM - RMSE: 0.8077, MAE: 0.6252, Time: 11.00s, CPU: 0.00%, Memory: 0.00MB
DIFM - RMSE: 1.1493, MAE: 0.9131, Time: 11.62s, CPU: -0.20%, Memory: 0.00MB
FiBiNET - RMSE: 0.8859, MAE: 0.6570, Time: 16.39s, CPU: 0.00%, Memory: 0.20MB
NFM - RMSE: 0.8197, MAE: 0.6361, Time: 11.28s, CPU: 0.00%, Memory: 0.08MB
ONN - RMSE: 1.0892, MAE: 0.8108, Time: 21.36s, CPU: 0.00%, Memory: 0.79MB
PNN - RMSE: 0.8058, MAE: 0.6108, Time: 8.20s, CPU: -0.20%, Memory: 0.00MB
WDL - RMSE: 0.8060, MAE: 0.6236, Time: 10.00s, CPU: -0.10%, Memory: 0.00MB
xDeepFM - RMSE: 0.8074, MAE: 0.6248, Time: 13.09s, CPU: 0.00%, Memory: 33.24MB
IFM - RMSE: 1.1132, MAE: 0.8830, Time: 9.81s, CPU: -0.10%, Memory: 0.00MB
MLR - RMSE: 0.8594, MAE: 0.6819, Time: 15.33s, CPU: 0.10%, Memory: 15.00MB
MultiHeadAttentionModel - RMSE: 0.7910, MAE: 0.5852, Time: 12.34s, CPU: -0.10%, Memory: 10.68MB
==============================================================================================

Executing Case 6: Running Prediction with all criteria, with single context: semester
AFM - RMSE: 0.9994, MAE: 0.8201, Time: 30.03s, CPU: -0.20%, Memory: 2194.14MB
AutoInt - RMSE: 0.7998, MAE: 0.6136, Time: 14.61s, CPU: 0.00%, Memory: 2.02MB
CCPM - RMSE: 1.1223, MAE: 0.8916, Time: 18.34s, CPU: 0.00%, Memory: 619.79MB
DCN - RMSE: 0.8009, MAE: 0.6188, Time: 14.50s, CPU: 0.30%, Memory: 9.11MB
DeepFM - RMSE: 0.8050, MAE: 0.6224, Time: 12.79s, CPU: 0.00%, Memory: 7.74MB
DIFM - RMSE: 1.2736, MAE: 0.9754, Time: 12.94s, CPU: -0.10%, Memory: 7.28MB
FiBiNET - RMSE: 0.8937, MAE: 0.6590, Time: 20.04s, CPU: 0.00%, Memory: 10.05MB
NFM - RMSE: 0.8398, MAE: 0.6424, Time: 10.89s, CPU: 0.40%, Memory: 5.18MB
